age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,management,married,primary,no,1840,yes,no,cellular,15,may,112,1,-1,1,unknown,no
39,blue-collar,married,tertiary,no,1032,yes,no,cellular,26,mar,552,1,-1,1,unknown,no
48,retired,single,tertiary,no,-833,yes,no,cellular,3,mar,182,2,-1,1,unknown,no
57,technician,married,primary,no,6425,no,no,unknown,17,sep,16,7,-1,0,success,no
38,admin.,married,tertiary,no,-1395,yes,no,cellular,9,oct,115,1,-1,0,unknown,no
38,retired,married,secondary,yes,937,no,no,cellular,6,aug,374,7,-1,0,unknown,no
58,technician,married,primary,no,845,no,no,cellular,20,mar,24,3,-1,0,unknown,no
49,blue-collar,married,secondary,no,232,yes,no,telephone,24,aug,349,1,551,0,success,yes
35,unknown,married,secondary,no,1371,no,yes,cellular,18,aug,267,5,-1,0,other,no
46,retired,single,secondary,no,2266,no,no,cellular,21,oct,482,1,-1,0,unknown,no
35,management,married,tertiary,no,538,yes,no,cellular,29,nov,46,1,-1,0,unknown,no
35,unknown,divorced,secondary,no,1967,yes,no,cellular,5,dec,124,1,-1,0,unknown,no
43,blue-collar,married,tertiary,no,7150,yes,no,telephone,7,aug,223,1,494,0,failure,no
19,technician,married,secondary,no,527,no,no,cellular,1,apr,61,2,-1,0,unknown,no
22,technician,married,tertiary,no,182,no,no,cellular,5,mar,61,4,-1,2,unknown,no
34,management,single,secondary,no,339,yes,no,unknown,8,oct,1363,1,822,0,unknown,no
29,admin.,married,secondary,no,292,yes,no,cellular,17,apr,44,3,-1,0,unknown,no
44,management,married,secondary,no,634,no,no,cellular,2,jan,803,2,-1,0,unknown,no
31,blue-collar,single,primary,no,1738,yes,no,unknown,22,feb,454,1,-1,0,unknown,no
25,retired,married,tertiary,no,13,yes,yes,cellular,29,oct,919,1,-1,0,failure,no
57,technician,divorced,secondary,no,3595,yes,no,unknown,29,feb,237,3,452,0,unknown,no
38,retired,married,secondary,no,-3285,yes,no,unknown,20,oct,105,2,-1,0,unknown,no
41,services,divorced,secondary,no,-749,no,no,cellular,22,oct,106,2,382,1,unknown,no
25,admin.,married,secondary,no,1187,no,no,unknown,16,jun,104,2,-1,0,other,no
35,admin.,single,tertiary,no,189,no,no,unknown,23,dec,128,2,-1,1,success,no
42,technician,married,secondary,no,173,no,yes,unknown,14,nov,571,4,-1,0,unknown,no
28,admin.,married,primary,no,30,no,no,unknown,28,dec,42,1,-1,1,unknown,no
45,blue-collar,married,secondary,no,3079,yes,no,unknown,23,jun,177,1,646,0,unknown,no
34,unknown,single,tertiary,no,3868,no,no,cellular,2,jan,259,4,-1,1,unknown,no
37,management,married,secondary,no,2658,yes,no,cellular,18,may,403,2,433,0,unknown,no
34,services,single,secondary,no,3561,no,no,cellular,23,aug,194,1,431,2,failure,no
61,blue-collar,married,secondary,no,1836,no,no,cellular,31,oct,318,1,801,2,success,yes
40,blue-collar,married,tertiary,no,2474,no,no,cellular,19,apr,128,4,125,0,unknown,no
29,management,married,tertiary,no,1038,yes,no,cellular,15,jun,121,3,-1,1,unknown,no
50,services,married,secondary,no,258,no,no,cellular,7,jan,248,1,-1,1,unknown,no
27,unknown,single,primary,no,106,yes,no,unknown,12,jul,358,1,-1,0,unknown,yes
43,retired,married,secondary,no,-6792,no,no,cellular,28,feb,2,1,-1,0,unknown,no
19,admin.,divorced,secondary,no,1309,no,yes,unknown,10,mar,346,1,-1,1,failure,no
26,entrepreneur,divorced,secondary,no,267,yes,no,unknown,7,mar,477,9,-1,0,unknown,no
43,blue-collar,single,tertiary,no,370,yes,no,cellular,10,dec,388,7,-1,0,unknown,no
49,blue-collar,married,secondary,no,729,yes,no,unknown,22,jan,147,4,-1,1,unknown,no
42,management,married,secondary,no,370,yes,yes,cellular,2,jul,25,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,876,no,no,unknown,16,nov,138,2,51,2,unknown,no
37,blue-collar,married,primary,no,5326,yes,yes,unknown,18,oct,71,2,314,0,unknown,no
24,unknown,married,secondary,no,163,no,no,cellular,18,feb,349,1,-1,0,failure,no
33,self-employed,divorced,primary,no,-1072,yes,no,unknown,21,jun,206,2,-1,0,unknown,no
